epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.18485,3.62171,4.72491,4.26887,0.00133,0.13725,0.00107,0.00032,3.49263,4.00933,4.15827,0.0955,0.0005,0.0005
2,8.71893,3.82045,4.95312,4.3131,0.00107,0.14706,0.00097,0.00029,3.49058,4.01502,4.15671,0.0900969,0.00109689,0.00109689
3,10.3013,3.5183,4.64657,4.30091,0.00113,0.14706,0.00101,0.00031,3.48522,3.70956,4.15115,0.0846904,0.00169038,0.00169038
4,11.9184,3.55452,4.66991,4.26312,0.00113,0.14706,0.00101,0.00031,3.47832,3.73121,4.14517,0.0792805,0.00228048,0.00228048
5,13.508,3.58816,4.53206,4.22683,0.0011,0.14706,0.00104,0.00032,3.4659,3.75217,4.13711,0.0738672,0.00286719,0.00286719
6,15.0056,3.46386,4.53927,4.2616,0.00099,0.13725,0.00101,0.00031,3.45691,3.77133,4.12879,0.0684505,0.0034505,0.0034505
7,16.4656,3.5447,4.45976,4.21867,0.00099,0.13725,0.00094,0.0003,3.45121,3.78867,4.12161,0.0630304,0.00403042,0.00403042
8,17.9282,3.3305,4.59201,4.17065,0.00102,0.13725,0.0009,0.00028,3.44538,3.81085,4.11347,0.0576069,0.00460694,0.00460694
9,19.3793,3.43125,4.39353,4.12954,0.00102,0.13725,0.00104,0.0003,3.44165,3.82926,4.10812,0.0521801,0.00518007,0.00518007
10,20.8274,3.64318,4.42522,4.10199,0.00102,0.13725,0.00115,0.00032,3.4382,3.84181,4.10403,0.0467498,0.0057498,0.0057498
11,22.2494,3.34435,4.38429,4.05966,0.001,0.13725,0.00103,0.00029,3.43856,3.86007,4.10002,0.0413161,0.00631614,0.00631614
12,23.6804,3.33941,4.26921,4.01635,0.00107,0.14706,0.0012,0.00034,3.44084,3.87606,4.09752,0.0358791,0.00687909,0.00687909
13,25.1079,3.37305,4.22286,3.97439,0.00102,0.13725,0.00155,0.00053,3.45076,3.89007,4.09742,0.0304386,0.00743864,0.00743864
14,26.5229,3.19621,4.19422,3.90574,0.00111,0.14706,0.00165,0.00051,3.46389,3.90349,4.09932,0.0249948,0.0079948,0.0079948
15,27.9419,3.22975,4.14853,3.83551,0.00125,0.16667,0.00541,0.00079,3.47627,3.91194,4.09951,0.0195476,0.00854756,0.00854756
16,29.3669,3.18589,4.10131,3.84334,0.00116,0.15686,0.00254,0.00072,3.49163,3.90707,4.09571,0.0140969,0.00909693,0.00909693
17,30.7994,3.11801,4.02064,3.72758,0.00122,0.16667,0.00375,0.00119,3.38573,3.79829,4.03251,0.00954743,0.00954743,0.00954743
18,32.2349,3.12223,3.98005,3.72395,0.00136,0.25817,0.01317,0.0058,3.26738,3.55209,3.92423,0.00951914,0.00951914,0.00951914
19,33.6605,3.18907,3.84031,3.62689,0.00095,0.13725,0.00324,0.00098,3.32177,3.57684,4.00515,0.00949086,0.00949086,0.00949086
20,35.132,3.14789,3.77694,3.56785,0.50086,0.04902,0.00085,0.00021,3.74845,4.9753,6.8169,0.00946257,0.00946257,0.00946257
