epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0548,3.39681,5.39386,4.27926,0.00058,0.08497,0.00035,9e-05,3.43108,4.5757,4.15867,0.0955,0.0005,0.0005
2,33.8422,3.49787,5.67427,4.29493,0.00096,0.1732,0.00061,0.00012,3.43091,4.59307,4.15666,0.0900978,0.00109782,0.00109782
3,47.4184,3.23561,5.28927,4.31546,0.00096,0.1732,0.00061,0.00012,3.43087,4.02184,4.15424,0.0846933,0.00169327,0.00169327
4,61.2116,3.36299,5.31314,4.28171,0.00097,0.1732,0.00059,0.00013,3.42924,4.06221,4.1499,0.0792863,0.00228634,0.00228634
5,75.2537,3.32524,5.08181,4.25337,0.00098,0.1732,0.00062,0.00012,3.42854,4.09871,4.14576,0.073877,0.00287703,0.00287703
6,89.2124,3.31856,4.93241,4.28849,0.00097,0.1732,0.00062,0.00014,3.42902,4.13181,4.14086,0.0684654,0.00346535,0.00346535
7,103.354,3.27247,4.83945,4.24901,0.00098,0.1732,0.00062,0.00013,3.42817,4.16653,4.13604,0.0630513,0.00405129,0.00405129
8,118.432,3.25469,4.98989,4.19798,0.00099,0.1732,0.00062,0.00014,3.42842,4.20796,4.13036,0.0576349,0.00463486,0.00463486
9,132.472,3.31331,4.68832,4.16902,0.00097,0.1732,0.00059,0.00013,3.42903,4.23991,4.12552,0.052216,0.00521605,0.00521605
10,147.294,3.22941,4.69321,4.14732,0.00097,0.1732,0.00062,0.00014,3.42914,4.26781,4.12176,0.0467949,0.00579486,0.00579486
11,178.498,3.26941,4.63871,4.11784,0.00097,0.1732,0.00061,0.00014,3.42859,4.29527,4.11796,0.0413713,0.0063713,0.0063713
12,197.472,3.22049,4.50467,4.08719,0.00098,0.1732,0.00065,0.00014,3.42889,4.32066,4.11415,0.0359454,0.00694536,0.00694536
13,212.918,3.19684,4.44715,4.02965,0.00098,0.1732,0.00068,0.00015,3.42979,4.04761,4.11031,0.030517,0.00751705,0.00751705
14,224.1,3.045,4.44012,3.9924,0.00098,0.1732,0.00132,0.00036,3.42946,4.06568,4.10556,0.0250864,0.00808636,0.00808636
15,238.327,2.99151,4.39013,3.93805,0.00099,0.1732,0.0007,0.00015,3.4274,4.09454,4.1046,0.0196533,0.00865329,0.00865329
16,251.767,3.20719,4.29357,3.92984,0.00099,0.1732,0.00207,0.00032,3.42137,4.11077,4.1081,0.0142179,0.00921785,0.00921785
17,262.318,3.07518,4.2104,3.84282,0.00084,0.11765,0.00093,0.00023,3.34474,4.09898,4.07531,0.0096832,0.0096832,0.0096832
18,272.902,3.13858,4.11975,3.83299,0.00085,0.11765,0.00083,0.00022,3.31703,4.20616,4.06919,0.0096634,0.0096634,0.0096634
19,283.691,3.10387,3.93015,3.73577,0.00118,0.12745,0.00165,0.00045,3.33999,4.21986,4.10924,0.0096436,0.0096436,0.0096436
20,294.572,2.94506,3.85188,3.6328,0.00222,0.11765,0.00343,0.00066,3.42114,4.29793,4.16409,0.0096238,0.0096238,0.0096238
21,305.329,3.02233,3.90782,3.61214,0.00279,0.28431,0.00877,0.0033,3.64616,4.30887,4.60313,0.009604,0.009604,0.009604
22,315.978,3.02062,3.71813,3.58544,0.01111,0.05882,0.01499,0.00333,3.88058,4.44613,5.96113,0.0095842,0.0095842,0.0095842
23,326.714,2.89719,3.66505,3.53662,0.07278,0.05556,0.03229,0.00436,3.62536,4.52924,5.02248,0.0095644,0.0095644,0.0095644
24,337.555,2.91325,3.73939,3.48997,0.00227,0.11765,0.00435,0.00073,3.8373,6.51266,5.99353,0.0095446,0.0095446,0.0095446
25,351.012,2.89263,3.4936,3.44068,0.00259,0.12418,0.00526,0.00092,3.78515,49.5725,5.73025,0.0095248,0.0095248,0.0095248
26,365.114,2.86622,3.49165,3.38379,0.02641,0.12092,0.01372,0.00138,3.46202,inf,4.83622,0.009505,0.009505,0.009505
27,376.103,2.88009,3.41272,3.3979,0.00295,0.11438,0.00222,0.00076,3.30842,39.2888,4.48986,0.0094852,0.0094852,0.0094852
28,386.871,2.8942,3.54452,3.47013,0.00439,0.11438,0.00201,0.00082,3.29145,inf,4.80346,0.0094654,0.0094654,0.0094654
29,397.447,2.80586,3.37945,3.38344,0.00596,0.0098,0.00181,0.00059,3.35053,45.9503,5.00995,0.0094456,0.0094456,0.0094456
30,407.209,2.86255,3.40224,3.3755,0.00212,0.06536,0.00147,0.00041,3.20801,7.90517,4.08474,0.0094258,0.0094258,0.0094258
31,418.448,2.66556,3.41622,3.32253,0.00301,0.12092,0.00124,0.00041,3.36581,121.937,4.99792,0.009406,0.009406,0.009406
32,429.205,2.86312,3.49436,3.27593,0.00456,0.2451,0.00244,0.00063,2.90479,39.2739,3.64287,0.0093862,0.0093862,0.0093862
33,443.796,2.65569,3.3405,3.20468,0.00172,0.20588,0.00105,0.00041,3.06195,inf,4.02104,0.0093664,0.0093664,0.0093664
34,455.777,2.67937,3.23378,3.18777,0.00834,0.19608,0.00295,0.00074,2.94134,74.0047,3.60397,0.0093466,0.0093466,0.0093466
35,466.606,2.6607,3.11113,3.12237,0.55527,0.05556,0.06874,0.01908,3.27609,12.4246,3.59072,0.0093268,0.0093268,0.0093268
36,480.669,2.56958,3.08487,3.05368,0.14998,0.16218,0.04816,0.00931,2.86337,7.70655,3.34442,0.009307,0.009307,0.009307
37,491.761,2.5207,3.05425,3.0822,0.14736,0.07516,0.03655,0.01256,2.62852,6.97403,3.22612,0.0092872,0.0092872,0.0092872
38,505.406,2.55075,3.02412,3.07431,0.08963,0.21569,0.10133,0.03404,2.51423,4.43337,3.09379,0.0092674,0.0092674,0.0092674
39,516.466,2.59809,2.99769,3.15043,0.0729,0.18954,0.05063,0.01436,2.52377,3.7578,3.08325,0.0092476,0.0092476,0.0092476
40,527.506,2.56841,2.87856,3.05776,0.60974,0.16667,0.12243,0.04499,2.43044,4.21391,3.07705,0.0092278,0.0092278,0.0092278
41,541.202,2.43174,2.87775,2.93548,0.43397,0.17251,0.15318,0.04388,2.45388,3.91989,3.05781,0.009208,0.009208,0.009208
42,554.623,2.44002,2.93986,3.00424,0.18493,0.23856,0.1151,0.03255,2.41502,4.45612,3.0876,0.0091882,0.0091882,0.0091882
