epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1815,3.64916,4.82082,4.27584,0.00193,0.14706,0.00125,0.00038,3.49223,4.00923,4.15891,0.0982,0.0002,0.0002
2,13.8519,3.54497,4.7442,4.30507,0.00182,0.13725,0.00122,0.00038,3.49267,4.00927,4.15839,0.0954995,0.000499505,0.000499505
3,17.8369,3.49272,4.73372,4.28798,0.00193,0.14706,0.00127,0.00039,3.49239,4.00911,4.1578,0.0927984,0.000798416,0.000798416
4,21.4715,3.58633,4.79498,4.27566,0.00113,0.14706,0.00128,0.00034,3.49073,4.02259,4.15536,0.0900967,0.00109673,0.00109673
5,25.125,3.53351,4.67137,4.26711,0.00113,0.14706,0.00128,0.00035,3.48467,3.71419,4.15113,0.0873945,0.00139446,0.00139446
6,29.1003,3.60014,4.58298,4.28063,0.00113,0.14706,0.00101,0.00031,3.48179,3.72689,4.14705,0.0846916,0.00169158,0.00169158
7,33.0289,3.55715,4.63884,4.26441,0.00104,0.13725,0.00105,0.00031,3.47653,3.73983,4.14293,0.0819881,0.00198812,0.00198812
8,36.9611,3.53116,4.547,4.24932,0.00107,0.14706,0.00111,0.00032,3.47218,3.75249,4.1386,0.0792841,0.00228406,0.00228406
9,40.5882,3.72794,4.62313,4.22196,0.00099,0.13725,0.0009,0.00028,3.46564,3.76842,4.13401,0.0765794,0.00257941,0.00257941
10,44.1919,3.69297,4.51275,4.22076,0.00099,0.13725,0.00102,0.00031,3.4612,3.77839,4.12946,0.0738742,0.00287416,0.00287416
11,48.0869,3.66768,4.48704,4.23677,0.00113,0.14706,0.00104,0.00031,3.4578,3.7881,4.12485,0.0711683,0.00316832,0.00316832
12,51.9833,3.61996,4.48578,4.18729,0.00106,0.14706,0.00097,0.00028,3.45307,3.79608,4.12066,0.0684619,0.00346189,0.00346189
13,55.5273,3.68763,4.40407,4.16167,0.00099,0.13725,0.0009,0.00028,3.4495,3.80721,4.11585,0.0657549,0.00375486,0.00375486
14,59.4027,3.55232,4.41683,4.16011,0.00099,0.13725,0.00101,0.0003,3.44535,3.81201,4.11057,0.0630472,0.00404723,0.00404723
15,63.0102,3.56029,4.45009,4.15731,0.00109,0.14706,0.00116,0.00033,3.44052,3.82103,4.10544,0.060339,0.00433902,0.00433902
16,66.8591,3.51496,4.35009,4.13115,0.00102,0.13725,0.0009,0.00028,3.4392,3.83025,4.09937,0.0576302,0.0046302,0.0046302
17,70.7148,3.57311,4.31662,4.11286,0.00102,0.13725,0.00095,0.00028,3.43481,3.84013,4.0932,0.0549208,0.0049208,0.0049208
18,74.3644,3.46736,4.32342,4.09501,0.00102,0.13725,0.00091,0.00028,3.43216,3.84758,4.08698,0.0522108,0.0052108,0.0052108
19,77.9358,3.37519,4.26538,4.08369,0.00102,0.13725,0.00095,0.00027,3.42644,3.85567,4.07958,0.0495002,0.00550021,0.00550021
20,81.7715,3.37646,4.23573,4.03802,0.00109,0.14706,0.001,0.00029,3.42661,3.86684,4.07328,0.046789,0.00578902,0.00578902
21,86.0032,3.3505,4.20202,3.95297,0.00102,0.13725,0.00103,0.0003,3.42483,3.87864,4.06639,0.0440772,0.00607724,0.00607724
22,89.6247,3.36694,4.19643,3.90197,0.00102,0.13725,0.00117,0.00035,3.4225,3.89745,4.06275,0.0413649,0.00636486,0.00636486
23,93.156,3.23352,4.12239,3.84144,0.00109,0.14706,0.00138,0.00035,3.41926,3.76013,4.06006,0.0386519,0.0066519,0.0066519
24,96.6914,3.29565,4.16678,3.84088,0.00109,0.14706,0.00156,0.00049,3.42283,3.78216,4.05913,0.0359383,0.00693833,0.00693833
25,100.566,3.34515,4.04088,3.7306,0.00102,0.13725,0.00133,0.00039,3.42574,3.80223,4.05827,0.0332242,0.00722418,0.00722418
