epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6812,2.83313,3.4126,3.32167,0.00188,0.3974,0.00267,0.00066,2.99952,3.94851,4.34675,0.0701485,0.00331683,0.00331683
2,49.429,2.34264,3.02796,2.86095,0.00559,0.5217,0.01242,0.00364,2.79453,4.88932,3.51652,0.0401375,0.00663919,0.00663919
3,71.6784,2.18403,2.8332,2.73105,0.07493,0.11162,0.01793,0.00453,2.86227,4.48312,3.62891,0.0101156,0.00995055,0.00995055
4,93.9075,2.08853,2.73133,2.65847,0.12864,0.12057,0.06088,0.0212,2.29151,3.30407,3.14738,0.0099505,0.0099505,0.0099505
5,116.351,2.0327,2.66923,2.58867,0.1231,0.21822,0.07632,0.02442,2.20945,3.74831,3.2238,0.009934,0.009934,0.009934
6,138.583,1.98807,2.57359,2.54109,0.16963,0.21716,0.10562,0.03823,2.24504,4.57604,3.13923,0.0099175,0.0099175,0.0099175
7,160.797,1.94647,2.52101,2.52387,0.24172,0.24251,0.17116,0.06019,2.10631,3.31561,2.9353,0.009901,0.009901,0.009901
8,182.865,1.85391,2.44307,2.42852,0.25885,0.2437,0.19315,0.06966,2.2162,2.90854,3.1259,0.0098845,0.0098845,0.0098845
9,205.128,1.85698,2.41852,2.40982,0.41557,0.36573,0.3396,0.13634,2.01691,2.57515,2.76158,0.009868,0.009868,0.009868
10,227.257,1.81325,2.31209,2.36111,0.37668,0.32508,0.31188,0.12119,2.13082,2.72498,2.93814,0.0098515,0.0098515,0.0098515
11,249.279,1.78896,2.31484,2.37154,0.33625,0.26123,0.20386,0.0889,2.05402,2.84629,2.93803,0.009835,0.009835,0.009835
12,271.228,1.78087,2.3151,2.3424,0.4611,0.33751,0.33389,0.14463,2.05294,2.52956,2.89244,0.0098185,0.0098185,0.0098185
13,293.293,1.7097,2.21405,2.282,0.49067,0.24889,0.29601,0.15649,1.84731,2.73817,2.63814,0.009802,0.009802,0.009802
14,315.327,1.71182,2.18264,2.27575,0.53465,0.4402,0.43665,0.18925,2.04466,2.15208,2.84093,0.0097855,0.0097855,0.0097855
15,337.452,1.70638,2.1929,2.26231,0.61317,0.28843,0.31854,0.17291,1.90691,2.81104,2.68402,0.009769,0.009769,0.009769
16,359.557,1.67901,2.15881,2.24679,0.56353,0.37718,0.45977,0.20825,1.8904,2.12408,2.63856,0.0097525,0.0097525,0.0097525
17,381.725,1.67005,2.09181,2.24086,0.56119,0.31851,0.3415,0.15438,2.02891,2.92056,2.84768,0.009736,0.009736,0.009736
18,403.752,1.66797,2.11392,2.22973,0.5063,0.42535,0.44087,0.22091,1.78964,2.06711,2.52578,0.0097195,0.0097195,0.0097195
19,425.676,1.63563,2.07086,2.19683,0.50366,0.39554,0.40038,0.16311,2.14364,2.35278,2.9664,0.009703,0.009703,0.009703
20,447.691,1.63584,2.05422,2.20453,0.63437,0.2839,0.36455,0.1761,1.98227,2.73962,2.82875,0.0096865,0.0096865,0.0096865
21,469.689,1.60935,2.0108,2.18007,0.68231,0.33019,0.4002,0.2242,1.77091,2.43137,2.53084,0.00967,0.00967,0.00967
22,491.763,1.60747,2.03036,2.1835,0.53428,0.37955,0.40957,0.19657,1.93719,2.58819,2.68324,0.0096535,0.0096535,0.0096535
23,513.68,1.57452,1.94813,2.14756,0.54026,0.36856,0.39734,0.18935,1.93924,2.34237,2.76708,0.009637,0.009637,0.009637
24,535.584,1.58514,1.94747,2.14922,0.61349,0.51032,0.56378,0.28445,1.7323,1.8892,2.50302,0.0096205,0.0096205,0.0096205
25,557.638,1.57658,1.93175,2.14961,0.70724,0.47897,0.59909,0.31729,1.70988,1.8464,2.40888,0.009604,0.009604,0.009604
26,579.616,1.55603,1.89859,2.12465,0.68078,0.41302,0.49934,0.27545,1.70894,2.05808,2.47537,0.0095875,0.0095875,0.0095875
27,601.517,1.54994,1.89282,2.11106,0.67513,0.56291,0.63789,0.32385,1.80243,1.74456,2.55355,0.009571,0.009571,0.009571
28,623.542,1.51778,1.8397,2.09812,0.66533,0.50834,0.5917,0.30913,1.72632,1.85998,2.45943,0.0095545,0.0095545,0.0095545
29,645.544,1.56555,1.85966,2.11901,0.67447,0.41879,0.53187,0.27503,1.74016,1.84683,2.42799,0.009538,0.009538,0.009538
30,667.536,1.52015,1.83386,2.08044,0.58719,0.52851,0.57853,0.29216,1.74526,2.01382,2.50174,0.0095215,0.0095215,0.0095215
31,689.572,1.52299,1.808,2.08412,0.65412,0.43517,0.49266,0.2635,1.7715,2.16415,2.51996,0.009505,0.009505,0.009505
32,711.583,1.50721,1.83062,2.07987,0.73364,0.42978,0.55829,0.31265,1.64448,1.83896,2.35051,0.0094885,0.0094885,0.0094885
33,733.504,1.47716,1.76874,2.04957,0.72499,0.58288,0.65419,0.35681,1.64372,1.75573,2.37113,0.009472,0.009472,0.009472
34,755.516,1.50193,1.7661,2.07002,0.67604,0.4761,0.59689,0.31704,1.76208,1.68111,2.50166,0.0094555,0.0094555,0.0094555
35,777.546,1.47768,1.75644,2.05524,0.77477,0.61555,0.71412,0.39574,1.5415,1.52753,2.28922,0.009439,0.009439,0.009439
36,799.54,1.46837,1.73422,2.03687,0.55422,0.44979,0.50164,0.27107,1.67613,1.9052,2.41849,0.0094225,0.0094225,0.0094225
37,821.473,1.4847,1.72912,2.05478,0.66679,0.37606,0.41642,0.25248,1.68887,2.42531,2.47249,0.009406,0.009406,0.009406
38,843.435,1.46046,1.72969,2.02089,0.72311,0.42386,0.53489,0.30181,1.69,1.9226,2.34059,0.0093895,0.0093895,0.0093895
39,865.424,1.45462,1.70404,2.0193,0.7397,0.62256,0.69526,0.39509,1.57416,1.53914,2.28901,0.009373,0.009373,0.009373
40,887.338,1.4596,1.69533,2.02534,0.67859,0.63281,0.67404,0.36512,1.62758,1.50908,2.34439,0.0093565,0.0093565,0.0093565
41,909.288,1.43689,1.67684,2.01511,0.66076,0.56293,0.621,0.35254,1.60636,1.65888,2.33301,0.00934,0.00934,0.00934
42,931.334,1.45064,1.68128,2.02065,0.70767,0.62604,0.68952,0.39637,1.53818,1.51774,2.29291,0.0093235,0.0093235,0.0093235
43,953.263,1.45194,1.67862,2.0128,0.82221,0.4503,0.55565,0.34897,1.5358,2.1972,2.26767,0.009307,0.009307,0.009307
44,975.163,1.46617,1.69478,2.02287,0.76662,0.41652,0.50088,0.31151,1.65431,2.26391,2.37451,0.0092905,0.0092905,0.0092905
45,997.175,1.42526,1.65538,1.99951,0.70685,0.61931,0.712,0.40728,1.50054,1.47021,2.23453,0.009274,0.009274,0.009274
46,1019.12,1.40966,1.61016,1.96991,0.77416,0.64715,0.73381,0.42619,1.49183,1.38102,2.23182,0.0092575,0.0092575,0.0092575
47,1041.12,1.43841,1.65002,1.99713,0.68014,0.60136,0.68845,0.37471,1.62281,1.49587,2.34166,0.009241,0.009241,0.009241
48,1063.08,1.39878,1.59765,1.97012,0.76474,0.64548,0.73116,0.41345,1.53134,1.38272,2.22999,0.0092245,0.0092245,0.0092245
49,1085.07,1.38906,1.58802,1.95456,0.71212,0.66787,0.74371,0.44995,1.42185,1.39866,2.13118,0.009208,0.009208,0.009208
50,1107.05,1.41136,1.60611,1.9805,0.74416,0.65405,0.736,0.43464,1.45572,1.3893,2.17076,0.0091915,0.0091915,0.0091915
51,1128.99,1.40252,1.58809,1.9651,0.81678,0.66753,0.77123,0.46102,1.45656,1.31163,2.14979,0.009175,0.009175,0.009175
52,1151.04,1.38474,1.54515,1.95275,0.76489,0.6353,0.72954,0.43024,1.47103,1.42339,2.1515,0.0091585,0.0091585,0.0091585
53,1172.97,1.38678,1.55989,1.94932,0.82077,0.47362,0.60118,0.37332,1.52919,1.97385,2.25595,0.009142,0.009142,0.009142
54,1195.01,1.3789,1.54221,1.9429,0.84318,0.57353,0.72594,0.44768,1.41703,1.42506,2.10202,0.0091255,0.0091255,0.0091255
55,1217.01,1.3879,1.52183,1.93723,0.83735,0.66682,0.78028,0.47408,1.43674,1.30035,2.14974,0.009109,0.009109,0.009109
56,1238.96,1.36554,1.50083,1.92705,0.80713,0.68474,0.78952,0.4871,1.36459,1.24358,2.06461,0.0090925,0.0090925,0.0090925
57,1260.96,1.35817,1.51177,1.91788,0.81625,0.65087,0.77172,0.4605,1.44188,1.29877,2.12789,0.009076,0.009076,0.009076
58,1282.96,1.37547,1.5072,1.91908,0.74285,0.65992,0.74031,0.44671,1.45765,1.32811,2.12202,0.0090595,0.0090595,0.0090595
59,1304.87,1.36028,1.48817,1.93198,0.836,0.67065,0.77493,0.46154,1.50106,1.26596,2.21571,0.009043,0.009043,0.009043
60,1326.8,1.32664,1.46564,1.89061,0.64587,0.48363,0.45448,0.30575,1.51531,2.277,2.23125,0.0090265,0.0090265,0.0090265
61,1348.72,1.33198,1.43899,1.89353,0.83987,0.6762,0.78916,0.4851,1.40944,1.21253,2.1389,0.00901,0.00901,0.00901
62,1370.78,1.34201,1.44578,1.89715,0.7744,0.66418,0.75308,0.45163,1.47021,1.35627,2.19576,0.0089935,0.0089935,0.0089935
63,1392.78,1.3302,1.44657,1.8905,0.84343,0.70953,0.80775,0.4978,1.35833,1.17905,2.04323,0.008977,0.008977,0.008977
64,1414.73,1.33484,1.45128,1.88844,0.83526,0.68709,0.79013,0.49073,1.38048,1.23016,2.08975,0.0089605,0.0089605,0.0089605
65,1436.68,1.33572,1.46095,1.90081,0.83292,0.67062,0.79744,0.50104,1.36174,1.18705,2.03602,0.008944,0.008944,0.008944
66,1458.62,1.30911,1.40755,1.87753,0.80323,0.71503,0.81168,0.50605,1.37244,1.16639,2.05629,0.0089275,0.0089275,0.0089275
67,1480.59,1.33029,1.44433,1.89661,0.82944,0.73943,0.82181,0.52164,1.32496,1.11967,1.97945,0.008911,0.008911,0.008911
68,1502.56,1.31377,1.40827,1.8715,0.83961,0.70964,0.8085,0.50681,1.38997,1.14094,2.1201,0.0088945,0.0088945,0.0088945
69,1524.52,1.30761,1.41355,1.85667,0.84194,0.74411,0.83794,0.53159,1.31692,1.07932,1.96335,0.008878,0.008878,0.008878
70,1546.52,1.30835,1.4314,1.8642,0.86178,0.70711,0.82518,0.51408,1.358,1.13826,2.01426,0.0088615,0.0088615,0.0088615
71,1568.5,1.30935,1.4199,1.86588,0.79797,0.73586,0.82051,0.52266,1.30906,1.1431,1.98619,0.008845,0.008845,0.008845
72,1590.53,1.30844,1.39417,1.85934,0.84481,0.73091,0.82715,0.51385,1.34777,1.16871,2.00003,0.0088285,0.0088285,0.0088285
73,1612.47,1.30948,1.38515,1.85279,0.7959,0.72216,0.80253,0.50113,1.3255,1.17809,2.00246,0.008812,0.008812,0.008812
74,1634.49,1.29478,1.37221,1.84555,0.81873,0.70486,0.81809,0.52353,1.27214,1.14668,1.91987,0.0087955,0.0087955,0.0087955
75,1656.37,1.28866,1.36496,1.83854,0.86295,0.72514,0.83694,0.53598,1.30692,1.08204,1.97483,0.008779,0.008779,0.008779
76,1678.3,1.29896,1.37246,1.8484,0.82453,0.71458,0.79852,0.50265,1.34405,1.19686,2.02811,0.0087625,0.0087625,0.0087625
77,1700.25,1.28411,1.3456,1.83363,0.86001,0.74559,0.85282,0.55539,1.27251,0.98318,1.90306,0.008746,0.008746,0.008746
78,1722.2,1.28984,1.34661,1.84111,0.84248,0.73129,0.83622,0.52683,1.30931,1.07496,1.9362,0.0087295,0.0087295,0.0087295
79,1744.11,1.27944,1.34188,1.82217,0.83996,0.68151,0.81488,0.53165,1.2838,1.12802,1.93792,0.008713,0.008713,0.008713
80,1766.04,1.28786,1.33672,1.83292,0.86343,0.74346,0.85482,0.54982,1.28473,1.05563,1.93891,0.0086965,0.0086965,0.0086965
81,1787.93,1.28479,1.35676,1.83237,0.79704,0.72209,0.82161,0.53902,1.27212,1.07821,1.92109,0.00868,0.00868,0.00868
82,1809.85,1.26611,1.32043,1.80555,0.85386,0.50986,0.68481,0.45351,1.34882,1.5251,2.0187,0.0086635,0.0086635,0.0086635
83,1831.72,1.2807,1.3386,1.8166,0.89516,0.76441,0.86745,0.56557,1.24931,0.99494,1.88924,0.008647,0.008647,0.008647
84,1853.62,1.25645,1.31408,1.8062,0.88648,0.76448,0.86437,0.56519,1.25212,0.97058,1.89635,0.0086305,0.0086305,0.0086305
85,1875.53,1.25416,1.30418,1.79463,0.89685,0.77079,0.87405,0.57347,1.22955,0.93527,1.86994,0.008614,0.008614,0.008614
86,1897.52,1.25994,1.30354,1.80535,0.89193,0.7647,0.87185,0.5789,1.22655,0.92966,1.8608,0.0085975,0.0085975,0.0085975
87,1919.34,1.25424,1.276,1.79171,0.85621,0.7511,0.8514,0.56207,1.25928,1.02528,1.90249,0.008581,0.008581,0.008581
88,1941.25,1.26779,1.32433,1.81025,0.88817,0.78712,0.87403,0.57545,1.23425,0.94637,1.8652,0.0085645,0.0085645,0.0085645
89,1963.15,1.27412,1.30949,1.80598,0.85653,0.75844,0.84477,0.54381,1.30635,1.02688,1.95919,0.008548,0.008548,0.008548
90,1985.11,1.23447,1.26321,1.77524,0.88753,0.7615,0.86123,0.56047,1.27837,0.95544,1.91931,0.0085315,0.0085315,0.0085315
91,2006.99,1.24802,1.28677,1.79429,0.87054,0.77752,0.86115,0.57045,1.24312,0.96481,1.88223,0.008515,0.008515,0.008515
92,2028.94,1.24496,1.29287,1.78072,0.83741,0.77476,0.86073,0.56865,1.22541,0.97617,1.85327,0.0084985,0.0084985,0.0084985
93,2050.91,1.25607,1.29477,1.79743,0.896,0.79804,0.88436,0.58931,1.21125,0.90324,1.83049,0.008482,0.008482,0.008482
94,2072.81,1.23918,1.25065,1.78429,0.8862,0.7682,0.8591,0.56719,1.25496,0.94049,1.89304,0.0084655,0.0084655,0.0084655
